year,stats_before,expect_like,programming_experience,statatt_atf,statatt_atc
4,FALSE,3,1,6.45,3.6666666666666665
4,FALSE,5,4,4.8,5.111111111111111
2,FALSE,3,1,4,2.888888888888889
4,FALSE,4,4,5.55,5.777777777777778
1,TRUE,5,1,6.8,4.666666666666667
4,FALSE,3,4,5.65,4.333333333333333
1,TRUE,5,1,4.2,4.222222222222222
1,TRUE,5,1,6.85,6
4,FALSE,4,3,4.4,2.888888888888889
1,FALSE,4,3,5.55,3.7777777777777777
1,TRUE,5,1,5.25,4.666666666666667
3,TRUE,4,5,5.55,5.777777777777778
3,FALSE,4,3,5,4.555555555555555
3,FALSE,3,1,4.4,2.888888888888889
3,FALSE,2,2,4.4,3.3333333333333335
2,FALSE,4,4,4.9,4
2,TRUE,2,2,4.6,1.8888888888888888
4,FALSE,1,1,5.25,2.6666666666666665
3,FALSE,3,1,5.35,2.5555555555555554
1,FALSE,5,1,5.5,6.222222222222222
Graduate student,FALSE,5,1,6.3,3.7777777777777777
3,FALSE,5,1,NA,2.3333333333333335
